Date,Price,Open,High,Low,Vol.,Change %
2018-08-07,32352,32400,32686,32209,108.60K,-0.73%
2018-08-08,32400,32019,32495,32019,87.22K,0.15%
2018-08-09,33300,33600,33600,32800,72.77K,2.78%
2018-08-10,33600,33450,33600,32800,35.38K,0.90%
2018-08-13,33150,33600,33600,33000,29.48K,-1.34%
2018-08-14,33500,33000,33500,32850,63.77K,1.06%
2018-08-15,33500,33600,33800,33000,15.21K,0.00%
2018-08-16,34000,33500,34000,33000,117.02K,1.49%
2018-08-17,33300,33900,33900,33250,14.74K,-2.06%
2018-08-20,32800,33400,33400,32800,105.91K,-1.50%
2018-08-21,32300,32700,32700,31250,180.79K,-1.52%
2018-08-22,31400,31600,32000,31400,156.71K,-2.79%
2018-08-23,30500,31400,31500,30500,171.20K,-2.87%
2018-08-24,30000,30100,30300,28900,477.39K,-1.64%
2018-08-27,29900,29300,30000,29000,300.72K,-0.33%
2018-08-28,29900,29900,29900,29200,242.22K,0.00%
2018-08-29,30600,29600,30600,29250,195.13K,2.34%
2018-08-30,30250,30500,30800,29500,282.08K,-1.14%
2018-08-31,30200,30000,30200,29700,81.48K,-0.17%
2018-09-04,30350,30200,30400,29600,68.80K,0.50%
2018-09-05,30600,29700,30900,29500,1.24M,0.82%
2018-09-06,30700,30600,30700,30200,93.39K,0.33%
2018-09-07,30700,30100,30750,30100,58.54K,0.00%
2018-09-10,30350,30500,30700,30200,118.89K,-1.14%
2018-09-11,30600,30250,30600,30000,63.81K,0.82%
2018-09-12,30700,30600,30700,30450,207.35K,0.33%
2018-09-13,30750,30700,30800,30500,42.30K,0.16%
2018-09-14,30750,30750,30750,30300,28.79K,0.00%
2018-09-17,30600,30500,30600,30050,59.40K,-0.49%
2018-09-18,30500,30600,30600,29850,46.39K,-0.33%
2018-09-19,30450,30100,30600,30100,53.86K,-0.16%
2018-09-20,30450,30200,30450,30000,49.36K,0.00%
2018-09-21,28350,30450,30450,28350,2.91M,-6.90%
2018-09-24,29650,29500,29750,29000,120.76K,4.59%
2018-09-25,29650,29650,29750,29400,41.78K,0.00%
2018-09-26,28550,29000,29150,28500,688.21K,-3.71%
2018-09-27,28600,28550,28750,28500,393.14K,0.18%
2018-09-28,28750,28600,28950,28600,312.12K,0.52%
2018-10-01,28800,28700,28900,28600,123.50K,0.17%
2018-10-02,28400,28800,28800,28400,302.70K,-1.39%
2018-10-03,27500,28400,28600,27500,347.88K,-3.17%
2018-10-04,27850,27800,28000,27500,55.85K,1.27%
2018-10-05,27400,27850,28000,27300,154.65K,-1.62%
2018-10-08,27200,27400,27400,26000,421.43K,-0.73%
2018-10-09,26900,26700,27000,26550,110.12K,-1.10%
2018-10-10,26500,26900,26900,26500,66.07K,-1.49%
2018-10-11,25700,25500,26000,25000,190.91K,-3.02%
2018-10-12,26000,25500,26000,24850,214.00K,1.17%
2018-10-15,25950,26300,26450,25350,78.15K,-0.19%
2018-10-16,25800,25800,25800,25500,136.72K,-0.58%
2018-10-17,26000,25800,26000,25600,120.80K,0.78%
2018-10-18,25950,26100,26100,25800,51.78K,-0.19%
2018-10-19,25950,25600,25950,25500,119.71K,0.00%
2018-10-22,25950,25600,25950,25400,90.13K,0.00%
2018-10-23,25850,25500,25900,25500,198.69K,-0.39%
2018-10-24,25950,25850,25950,25600,153.00K,0.39%
2018-10-25,25900,25400,25900,25000,68.67K,-0.19%
2018-10-26,25500,25900,25900,25300,88.02K,-1.54%
2018-10-29,25200,25500,25500,25000,188.63K,-1.18%
2018-10-30,25500,24900,25500,24700,69.20K,1.19%
2018-10-31,25900,25100,25900,24750,26.78K,1.57%
2018-11-01,25850,25900,25900,25300,25.02K,-0.19%
2018-11-02,25800,25850,25850,25450,71.10K,-0.19%
2018-11-05,25750,25500,25800,25100,33.99K,-0.19%
2018-11-06,25700,25500,25800,25400,37.21K,-0.19%
2018-11-07,25250,25550,25800,25250,55.36K,-1.75%
2018-11-08,25650,25250,25650,25250,21.98K,1.58%
2018-11-09,25650,25250,25700,25200,45.76K,0.00%
2018-11-12,25650,25100,25650,25100,35.32K,0.00%
2018-11-13,25500,25650,25650,25250,313.98K,-0.58%
2018-11-14,25500,25100,25500,25100,29.68K,0.00%
2018-11-15,25500,25300,25500,25150,46.02K,0.00%
2018-11-16,25500,25500,25500,25350,37.54K,0.00%
2018-11-19,25400,25000,25500,25000,47.97K,-0.39%
2018-11-20,25000,25050,25300,25000,17.81K,-1.57%
2018-11-21,25050,25000,25200,25000,22.86K,0.20%
2018-11-22,25150,25000,25200,25000,31.67K,0.40%
2018-11-23,24900,25150,25200,24900,19.93K,-0.99%
2018-11-26,25000,24900,25000,24800,32.44K,0.40%
2018-11-27,24700,25000,25000,24700,47.31K,-1.20%
2018-11-28,24700,24600,24700,24550,34.60K,0.00%
2018-11-29,24600,24550,24750,24400,18.84K,-0.40%
2018-11-30,24350,24300,24850,24300,26.21K,-1.02%
2018-12-03,24700,24400,24750,24300,59.04K,1.44%
2018-12-04,24500,24600,24700,24500,41.68K,-0.81%
2018-12-05,24550,24400,24650,24300,25.59K,0.20%
2018-12-06,24550,24250,24650,24250,24.54K,0.00%
2018-12-07,25400,24550,25500,24350,67.67K,3.46%
2018-12-10,25000,25400,25400,24900,78.10K,-1.57%
2018-12-11,25100,25100,25200,24800,32.24K,0.40%
2018-12-12,24850,25250,25400,24850,50.22K,-1.00%
2018-12-13,24700,25000,25000,24500,92.49K,-0.60%
2018-12-14,24500,24750,24750,24500,23.71K,-0.81%
2018-12-17,24500,24500,24600,24300,58.41K,0.00%
2018-12-18,24400,24500,24500,24000,51.25K,-0.41%
2018-12-19,24250,24400,24450,24100,63.61K,-0.61%
2018-12-20,23500,24250,24450,23500,39.37K,-3.09%
2018-12-21,24000,24250,24250,23800,50.42K,2.13%
2018-12-24,23800,24000,24200,23600,42.66K,-0.83%
2018-12-25,23400,23500,23800,22550,57.62K,-1.68%
2018-12-26,24000,23000,24000,22700,52.53K,2.56%
2018-12-27,24150,24000,24200,23650,22.58K,0.63%
2018-12-28,24200,24200,24200,23650,6.91K,0.21%
2019-01-02,23900,24200,24200,23000,40.16K,-1.24%
2019-01-03,23000,23900,23900,22250,95.69K,-3.77%
2019-01-04,22900,23000,23000,22050,61.56K,-0.43%
2019-01-07,22900,22900,23300,22200,104.11K,0.00%
2019-01-08,22800,22350,22850,22250,57.27K,-0.44%
2019-01-09,22950,22800,23100,22550,34.29K,0.66%
2019-01-10,22800,22350,22950,22200,117.48K,-0.65%
2019-01-11,22700,22800,22900,22350,47.08K,-0.44%
2019-01-14,22700,22700,22850,22250,52.41K,0.00%
2019-01-15,22400,22100,22750,22100,22.41K,-1.32%
2019-01-16,22400,22700,22700,22100,46.24K,0.00%
2019-01-17,22150,21900,22150,21800,106.54K,-1.12%
2019-01-18,21700,22000,22400,21250,102.62K,-2.03%
2019-01-21,21550,21800,21850,21300,57.33K,-0.69%
2019-01-22,20750,21300,21550,20750,105.04K,-3.71%
2019-01-23,20000,20700,20700,19850,124.08K,-3.61%
2019-01-24,20350,19900,21000,19800,41.99K,1.75%
2019-01-25,20550,20750,20750,20300,80.28K,0.98%
2019-01-28,20400,20050,20700,20000,44.72K,-0.73%
2019-01-29,20300,20000,20400,19900,57.83K,-0.49%
2019-01-30,20300,20450,20450,19950,114.37K,0.00%
2019-01-31,20000,20000,20050,19950,83.62K,-1.48%
2019-02-01,18600,20000,20000,18600,538.41K,-7.00%
2019-02-11,19400,19750,19900,19000,39.75K,4.30%
2019-02-12,19800,19500,19800,19400,70.82K,2.06%
2019-02-13,19950,19600,19950,19600,78.66K,0.76%
2019-02-14,21050,20000,21300,19950,96.12K,5.51%
2019-02-15,20900,21050,21350,20700,44.34K,-0.71%
2019-02-18,20950,20900,21100,20500,65.74K,0.24%
2019-02-19,21000,21100,21200,20950,39.98K,0.24%
2019-02-20,21050,21000,21150,20900,76.36K,0.24%
2019-02-21,20850,21100,21100,20850,69.66K,-0.95%
2019-02-22,20600,20850,20850,20600,89.24K,-1.20%
2019-02-25,20850,20600,20950,20500,22.72K,1.21%
2019-02-26,20800,20850,21400,20000,85.55K,-0.24%
2019-02-27,20700,20800,20900,20700,18.98K,-0.48%
2019-02-28,20500,20800,20800,20500,36.33K,-0.97%
2019-03-01,20600,20300,20750,20300,11.75K,0.49%
2019-03-04,20700,20600,20800,20450,30.06K,0.49%
2019-03-05,21800,20600,21800,20550,165.32K,5.31%
2019-03-06,23000,21500,23000,21500,107.40K,5.50%
2019-03-07,24050,23050,24450,23050,157.94K,4.57%
2019-03-08,23850,23800,24000,23600,141.76K,-0.83%
2019-03-11,24000,23850,24450,23850,103.38K,0.63%
2019-03-12,23800,24000,24300,23600,124.76K,-0.83%
2019-03-13,23000,23800,23850,22800,216.17K,-3.36%
2019-03-14,22700,22900,23200,22700,71.18K,-1.30%
2019-03-15,22700,22700,22800,22500,77.13K,0.00%
2019-03-18,22500,22700,23000,22500,189.03K,-0.88%
2019-03-19,22500,22900,22900,22300,71.00K,0.00%
2019-03-20,22250,22700,22700,22200,29.79K,-1.11%
2019-03-21,21500,22200,22500,21500,125.79K,-3.37%
2019-03-22,22000,22300,22850,21400,58.61K,2.33%
2019-03-25,21500,21900,22000,21000,6.06K,-2.27%
2019-03-26,21100,21500,21700,21100,54.80K,-1.86%
2019-03-27,21300,21000,21300,21000,117.50K,0.95%
2019-03-28,21400,21300,21700,21200,9.22K,0.47%
2019-03-29,21150,21600,21650,21000,73.90K,-1.17%
2019-04-01,21500,21300,21800,21150,145.10K,1.65%
