Date,Price,Open,High,Low,Vol.,Change %
2019-09-10,77700,77200,79200,77100,651.95K,0.65%
2019-09-11,78200,77300,78500,77300,141.45K,0.64%
2019-09-12,79500,78500,79500,78500,800.24K,1.66%
2019-09-13,81900,79800,82000,79800,1.41M,3.02%
2019-09-16,81000,81900,82700,80800,697.31K,-1.10%
2019-09-17,81100,80700,81300,80500,896.29K,0.12%
2019-09-18,80600,81100,82500,80500,809.82K,-0.62%
2019-09-19,81500,81000,81700,80500,527.23K,1.12%
2019-09-20,81000,81500,82800,81000,2.79M,-0.61%
2019-09-23,79000,81600,81900,79000,1.19M,-2.47%
2019-09-24,80600,79500,80800,78900,791.47K,2.03%
2019-09-25,80700,80000,80900,79400,729.34K,0.12%
2019-09-26,81000,80700,81300,80300,1.04M,0.37%
2019-09-27,82900,81300,83100,80800,1.39M,2.35%
2019-09-30,82100,82900,83300,81900,775.77K,-0.97%
2019-10-01,83400,82100,83600,81800,795.10K,1.58%
2019-10-02,82000,83400,83700,81700,1.22M,-1.68%
2019-10-03,82000,81800,82000,80600,1.00M,0.00%
2019-10-04,83000,82000,83500,81800,1.12M,1.22%
2019-10-07,82800,84000,84500,82800,1.13M,-0.24%
2019-10-08,85100,82800,85300,82800,1.46M,2.78%
2019-10-09,84500,85100,85700,84500,860.16K,-0.71%
2019-10-10,84600,84900,85200,84500,753.67K,0.12%
2019-10-11,85300,84500,85400,84400,730.37K,0.83%
2019-10-14,85000,85500,86000,85000,620.80K,-0.35%
2019-10-15,85200,85000,85400,84700,648.40K,0.24%
2019-10-16,86100,86200,86300,85700,668.74K,1.06%
2019-10-17,85200,86400,86400,84800,1.02M,-1.05%
2019-10-18,85000,85500,85800,84800,417.24K,-0.23%
2019-10-21,84200,84900,84900,83600,561.47K,-0.94%
2019-10-22,85400,84200,85800,84200,473.09K,1.43%
2019-10-23,85300,85500,85800,84600,538.12K,-0.12%
2019-10-24,86900,85300,87000,85100,660.18K,1.88%
2019-10-25,88000,86900,88500,86600,838.21K,1.27%
2019-10-28,87400,88000,88200,87400,383.85K,-0.68%
2019-10-29,86400,87400,87500,86300,702.62K,-1.14%
2019-10-30,87800,86100,88200,86100,607.71K,1.62%
2019-10-31,87700,88100,88500,87600,319.34K,-0.11%
2019-11-01,88800,87700,89400,87500,1.07M,1.25%
2019-11-04,92000,89300,92500,89300,1.09M,3.60%
2019-11-05,90800,92100,92500,90700,616.63K,-1.30%
2019-11-06,91000,90800,92300,90700,673.23K,0.22%
2019-11-07,91300,91000,91900,91000,360.85K,0.33%
2019-11-08,91500,91300,91900,90800,416.51K,0.22%
2019-11-11,91300,91800,91800,91000,423.79K,-0.22%
2019-11-12,91700,91400,92100,91300,595.82K,0.44%
2019-11-13,90500,92200,92200,90000,706.55K,-1.31%
2019-11-14,90900,90500,91400,90200,375.32K,0.44%
2019-11-15,89700,90000,91000,89400,565.27K,-1.32%
2019-11-18,87600,89500,89900,87500,700.55K,-2.34%
2019-11-19,91000,88000,91000,88000,526.56K,3.88%
2019-11-20,89500,91000,91000,89500,516.28K,-1.65%
2019-11-21,87500,89100,89700,87500,1.00M,-2.23%
2019-11-22,85500,87600,88500,85200,1.35M,-2.29%
2019-11-25,84500,85500,86000,82600,1.45M,-1.17%
2019-11-26,84700,84500,85800,84500,727.13K,0.24%
2019-11-27,86300,85500,87000,85300,484.36K,1.89%
2019-11-28,85300,86000,86300,84900,494.65K,-1.16%
2019-11-29,85300,85600,85800,85000,318.00K,0.00%
2019-12-02,83500,85300,85700,83000,438.80K,-2.11%
2019-12-03,82000,83000,84100,82000,635.37K,-1.80%
2019-12-04,84700,81900,84800,81500,376.73K,3.29%
2019-12-05,84800,85000,85700,84600,378.49K,0.12%
2019-12-06,84900,84800,85200,84400,256.40K,0.12%
2019-12-09,85200,84900,85700,84400,400.74K,0.35%
2019-12-10,85400,85300,85900,85000,512.29K,0.23%
2019-12-11,85900,86000,86000,85200,415.08K,0.59%
2019-12-12,87500,86100,88000,86000,464.75K,1.86%
2019-12-13,88400,88100,88500,87500,746.80K,1.03%
2019-12-16,86000,88400,88400,85000,665.55K,-2.71%
2019-12-17,85300,86400,87000,85300,266.25K,-0.81%
2019-12-18,86700,85400,86700,85300,845.74K,1.64%
2019-12-19,88000,86700,88200,86000,1.01M,1.50%
2019-12-20,88300,88000,88500,87800,389.36K,0.34%
2019-12-23,90900,88900,91000,88900,937.25K,2.94%
2019-12-24,90000,90800,90800,88900,507.60K,-0.99%
2019-12-25,89900,90000,90900,89000,230.88K,-0.11%
2019-12-26,89400,90500,90500,89000,404.11K,-0.56%
2019-12-27,90500,89300,90500,88300,498.87K,1.23%
2019-12-30,91000,90500,92200,90000,660.14K,0.55%
2019-12-31,90200,90600,91100,90100,230.77K,-0.88%
2020-01-02,90800,90200,91400,89700,386.29K,0.67%
2020-01-03,89900,91500,91800,89900,536.13K,-0.99%
2020-01-06,87500,89200,89500,87500,880.11K,-2.67%
2020-01-07,87800,87000,87900,85400,1.01M,0.34%
2020-01-08,87000,86900,87900,86200,722.28K,-0.91%
2020-01-09,88700,87700,88900,87700,722.67K,1.95%
2020-01-10,89500,88700,90400,87900,1.53M,0.90%
2020-01-13,89400,89000,89800,89000,1.04M,-0.11%
2020-01-14,89400,89500,90000,89100,1.00M,0.00%
2020-01-15,89300,89600,89600,88800,1.47M,-0.11%
2020-01-16,89500,89300,90300,88900,1.17M,0.22%
2020-01-17,94500,89500,94500,89500,2.22M,5.59%
2020-01-20,94000,94500,94800,93500,832.19K,-0.53%
2020-01-21,94000,93900,94600,93600,749.59K,0.00%
2020-01-22,93400,94000,95000,93100,877.71K,-0.64%
2020-01-30,88900,92100,92400,87000,3.54M,-4.82%
2020-01-31,88700,88000,89800,87700,1.27M,-0.22%
2020-02-03,88700,84100,90200,83000,1.46M,0.00%
2020-02-04,89800,89000,89800,87700,1.12M,1.24%
2020-02-05,88900,90200,90400,88800,731.31K,-1.00%
2020-02-06,89400,89000,90900,88800,889.57K,0.56%
2020-02-07,90000,89800,90800,89000,1.17M,0.67%
2020-02-10,88900,89200,89500,88500,607.06K,-1.22%
2020-02-11,89200,89000,89500,88900,520.21K,0.34%
2020-02-12,89400,89800,89800,89100,609.75K,0.22%
2020-02-13,89300,89200,89500,88800,633.27K,-0.11%
2020-02-14,89300,89000,89800,89000,432.80K,0.00%
2020-02-17,89400,89300,89900,89100,343.90K,0.11%
2020-02-18,89400,89600,89600,89000,432.88K,0.00%
2020-02-19,89500,89000,89500,89000,264.01K,0.11%
2020-02-20,89500,89700,90400,89200,541.12K,0.00%
2020-02-21,89000,89500,89500,89000,898.35K,-0.56%
2020-02-24,87200,86000,88000,86000,995.91K,-2.02%
2020-02-25,86200,86000,87000,85800,1.23M,-1.15%
2020-02-26,85000,86000,86000,84000,1.16M,-1.39%
2020-02-27,84000,84000,84600,82900,1.23M,-1.18%
2020-02-28,82400,80100,83400,80100,1.71M,-1.90%
2020-03-02,81800,81500,82200,81300,668.98K,-0.73%
2020-03-03,82200,83500,83500,82200,848.27K,0.49%
2020-03-04,81700,82000,82000,81000,581.53K,-0.61%
2020-03-05,83100,82200,83600,82200,833.71K,1.71%
2020-03-06,84500,83000,85700,82000,884.75K,1.68%
