Date,Price,Open,High,Low,Vol.
2020-03-02,884.43,878.43,886.45,877.31,206.64K
2020-03-03,890.61,895.39,896.39,890.06,212.74K
2020-03-04,889.37,887.85,889.85,882.83,238.45K
2020-03-05,893.31,892.71,898.43,891.20,231.34K
2020-03-06,891.44,888.96,891.44,882.71,214.34K
2020-03-09,835.49,875.80,875.80,834.67,309.10K
2020-03-10,837.50,813.83,843.28,806.63,298.02K
2020-03-11,811.35,843.52,844.94,794.54,318.57K
2020-03-12,769.25,778.06,778.06,762.12,339.23K
2020-03-13,761.78,750.56,764.69,723.42,354.71K
2020-03-16,747.86,758.28,758.59,737.58,292.25K
2020-03-17,745.78,724.07,750.03,721.84,287.28K
2020-03-18,747.66,747.40,752.65,742.12,259.02K
2020-03-19,725.94,732.35,733.43,714.02,353.39K
2020-03-20,709.73,728.55,729.35,709.73,230.59K
2020-03-23,666.59,694.77,694.77,664.23,280.25K
2020-03-24,659.21,666.59,666.59,652.27,245.15K
2020-03-25,690.25,669.76,690.25,667.58,270.18K
2020-03-26,694.21,689.00,700.76,680.10,221.85K
2020-03-27,696.06,692.54,703.22,682.52,327.99K
2020-03-30,662.26,663.91,665.56,657.36,233.10K
2020-03-31,662.53,669.74,678.64,649.10,262.79K
2020-04-01,680.23,658.80,684.96,657.41,267.02K
2020-04-03,701.80,687.92,701.80,687.92,233.09K
2020-04-06,736.75,716.22,736.75,715.39,334.90K
2020-04-07,746.69,744.97,749.13,730.28,292.97K
2020-04-08,748.02,740.03,748.36,730.12,252.29K
2020-04-09,760.33,751.08,765.87,751.08,298.47K
2020-04-10,757.94,759.08,764.36,751.59,338.40K
2020-04-13,765.79,762.99,774.62,762.53,235.28K
2020-04-14,767.41,769.01,769.53,753.85,266.78K
2020-04-15,777.22,768.05,779.52,768.01,302.62K
2020-04-16,780.70,773.11,781.06,770.91,250.94K
2020-04-17,789.60,786.96,790.95,783.74,309.86K
2020-04-20,794.97,796.17,797.49,786.73,336.05K
2020-04-21,766.84,794.97,794.97,761.96,397.40K
2020-04-22,768.92,752.80,774.94,749.97,253.44K
2020-04-23,773.91,768.92,785.60,768.92,205.80K
2020-04-24,776.66,777.28,778.30,767.31,262.27K
2020-04-27,770.77,780.65,785.74,770.77,307.36K
2020-04-28,767.21,773.31,776.13,763.66,219.40K
2020-04-29,769.11,768.59,772.62,768.19,250.08K
2020-05-04,762.47,766.14,769.73,761.64,285.57K
2020-05-05,764.16,763.22,767.03,760.04,212.38K
2020-05-06,782.59,767.30,782.59,765.37,272.45K
2020-05-07,796.54,785.08,796.54,785.08,240.80K
2020-05-08,813.73,800.32,825.72,800.20,371.34K
2020-05-11,828.33,818.26,828.33,812.48,353.42K
2020-05-12,835.32,827.29,835.95,819.66,322.21K
2020-05-13,834.21,835.32,839.59,815.13,374.60K
2020-05-14,832.40,830.97,836.19,826.17,341.12K
2020-05-15,827.03,835.42,838.47,824.59,301.89K
2020-05-18,837.01,827.49,837.61,823.08,254.05K
2020-05-19,845.92,852.14,854.25,844.15,385.27K
2020-05-20,852.91,843.26,852.91,842.21,265.77K
2020-05-21,862.73,854.93,862.73,854.04,331.91K
2020-05-22,852.74,859.29,860.65,852.08,303.98K
2020-05-25,859.04,852.90,860.45,849.12,307.23K
2020-05-26,869.13,861.47,869.65,860.22,328.35K
2020-05-27,857.48,869.13,875.35,857.48,388.90K
2020-05-28,861.39,858.97,866.17,856.48,322.22K
2020-05-29,864.47,861.59,866.95,859.26,318.19K
2020-06-01,878.67,868.97,878.67,868.97,476.52K
2020-06-02,874.80,879.23,882.73,874.53,484.71K
2020-06-03,881.17,876.73,881.17,874.01,351.96K
2020-06-04,883.90,883.22,888.32,883.22,431.12K
